<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL2,5,20120120,110000,424.3400000,424.5300000,424.3300000,424.4800000,11060
AAPL2,5,20120120,110500,424.4700000,424.5300000,424.2900000,424.3200000,14568
AAPL2,5,20120120,111000,424.3400000,424.5000000,424.2900000,424.3600000,6720
AAPL2,5,20120120,111500,424.3600000,424.4500000,424.3100000,424.4500000,14942
AAPL2,5,20120120,112000,424.4200000,424.4500000,424.3200000,424.3800000,6365
AAPL2,5,20120120,112500,424.3800000,424.4200000,424.3200000,424.3800000,5550
AAPL2,5,20120120,113000,424.4100000,424.4500000,424.3250000,424.3250000,5821
AAPL2,5,20120120,113500,424.3100000,424.3200000,424.1600000,424.1600000,21707
AAPL2,5,20120120,114000,424.1100000,424.1800000,424.0800000,424.1100000,7620
AAPL2,5,20120120,114500,424.1250000,424.1300000,423.6800000,423.8300000,17253
AAPL2,5,20120120,115000,423.7700000,424.0500000,423.6600000,424.0500000,6120
AAPL2,5,20120120,115500,424.0200000,424.0500000,423.9500000,424.0000000,8954
AAPL2,5,20120120,120000,423.9600000,424.0100000,423.9400000,424.0000000,4496
AAPL2,5,20120120,120500,424.0000000,424.0700000,423.9600000,424.0600000,7059
AAPL2,5,20120120,121000,424.0700000,424.0800000,424.0000000,424.0350000,3939
AAPL2,5,20120120,121500,424.0250000,424.0400000,423.9800000,424.0000000,2878
AAPL2,5,20120120,122000,424.0200000,424.0800000,423.9800000,424.0300000,5386
AAPL2,5,20120120,122500,424.0700000,424.0800000,424.0100000,424.0500000,4100
AAPL2,5,20120120,123000,424.0400000,424.0800000,423.9900000,424.0000000,10277
AAPL2,5,20120120,123500,424.0000000,424.0400000,423.9700000,424.0000000,4140
AAPL2,5,20120120,124000,424.0000000,424.0500000,423.9500000,423.9800000,10594
AAPL2,5,20120120,124500,423.9700000,424.0300000,423.9600000,423.9900000,6500
AAPL2,5,20120120,125000,423.9900000,424.0300000,423.9800000,423.9800000,5292
AAPL2,5,20120120,125500,424.0100000,424.0350000,423.9800000,423.9800000,7992
AAPL2,5,20120120,130000,424.0000000,424.0100000,423.9300000,423.9600000,8895
AAPL2,5,20120120,130500,423.9500000,424.0200000,423.9300000,423.9700000,6603
AAPL2,5,20120120,131000,424.0000000,424.0400000,423.9400000,423.9700000,9859
AAPL2,5,20120120,131500,423.9900000,424.0100000,423.9300000,423.9500000,2794
AAPL2,5,20120120,132000,423.9200000,423.9500000,423.6300000,423.6800000,14295
AAPL2,5,20120120,132500,423.6900000,423.7500000,423.4800000,423.7100000,10676
AAPL2,5,20120120,133000,423.7600000,423.7700000,423.3500000,423.3800000,9848
AAPL2,5,20120120,133500,423.4050000,423.5500000,423.4050000,423.5000000,8760
AAPL2,5,20120120,134000,423.5000000,423.5100000,423.2700000,423.3200000,6317
AAPL2,5,20120120,134500,423.3000000,423.3000000,422.9400000,423.0200000,7222
AAPL2,5,20120120,135000,423.0400000,423.1300000,422.3300000,422.4900000,10852
AAPL2,5,20120120,135500,422.4300000,422.5500000,422.1700000,422.2400000,21009
AAPL2,5,20120120,140000,422.2400000,422.2800000,421.1700000,421.2000000,16095
AAPL2,5,20120120,140500,421.2300000,422.0500000,421.2300000,421.9500000,27154
AAPL2,5,20120120,141000,421.9800000,422.0800000,421.6600000,421.7000000,13844
AAPL2,5,20120120,141500,421.7400000,421.7900000,421.3900000,421.4800000,25785
AAPL2,5,20120120,142000,421.4900000,421.5200000,420.8000000,420.8500000,24846
AAPL2,5,20120120,142500,420.8500000,421.0000000,420.5200000,420.9100000,40635
AAPL2,5,20120120,143000,420.9700000,421.3700000,420.8600000,420.9000000,30846
AAPL2,5,20120120,143500,420.9500000,421.1800000,420.9000000,421.0900000,16811
AAPL2,5,20120120,144000,421.1000000,421.1500000,420.6700000,420.6700000,21933
AAPL2,5,20120120,144500,420.8300000,421.0000000,420.5500000,420.5800000,9510
AAPL2,5,20120120,145000,420.5400000,420.5500000,419.9100000,420.2300000,33165
AAPL2,5,20120120,145500,420.1600000,420.4200000,420.0700000,420.2600000,14432
AAPL2,5,20120120,150000,420.2400000,420.5100000,419.7600000,420.4600000,19665
AAPL2,5,20120120,150500,420.5300000,421.0900000,420.5300000,421.0000000,22271
AAPL2,5,20120120,151000,421.0200000,421.5800000,420.9200000,421.5500000,18425
AAPL2,5,20120120,151500,421.5600000,421.6100000,421.1800000,421.3900000,7891
AAPL2,5,20120120,152000,421.4000000,421.4500000,421.0700000,421.2000000,8760
AAPL2,5,20120120,152500,421.1600000,421.1600000,420.5000000,420.6600000,16208
AAPL2,5,20120120,153000,420.6300000,420.6300000,420.3300000,420.4400000,13095
AAPL2,5,20120120,153500,420.4300000,421.0300000,420.4300000,420.8900000,10800
AAPL2,5,20120120,154000,420.8900000,420.9500000,420.6700000,420.7300000,6400
AAPL2,5,20120120,154500,420.7700000,420.7800000,420.3100000,420.3500000,25681
AAPL2,5,20120120,155000,420.3900000,420.5400000,420.3600000,420.5200000,19204
AAPL2,5,20120120,155500,420.5100000,420.5400000,420.0700000,420.1300000,45431
AAPL2,5,20120120,160000,420.0700000,420.3250000,420.0000000,420.2800000,82773
AAPL2,5,20120123,093500,422.8250000,424.5100000,422.3200000,424.1400000,39761
AAPL2,5,20120123,094000,424.1400000,425.3100000,424.1400000,424.9100000,16777
AAPL2,5,20120123,094500,424.8500000,427.1100000,424.6300000,427.1000000,24027
AAPL2,5,20120123,095000,427.1100000,427.5800000,426.3100000,426.5000000,23954
AAPL2,5,20120123,095500,426.4800000,426.7600000,426.1900000,426.3400000,20505
AAPL2,5,20120123,100000,426.3000000,427.1300000,426.3000000,426.7000000,12715
AAPL2,5,20120123,100500,426.6700000,427.9000000,426.6000000,427.8800000,19083
AAPL2,5,20120123,101000,427.7000000,428.4400000,427.3900000,427.9700000,13726
AAPL2,5,20120123,101500,427.9500000,428.0000000,427.6500000,427.8700000,13670
AAPL2,5,20120123,102000,427.8700000,427.8800000,427.2800000,427.5200000,11224
AAPL2,5,20120123,102500,427.4700000,427.6300000,426.9200000,426.9200000,8930
AAPL2,5,20120123,103000,426.9300000,427.1500000,426.6000000,426.6100000,10867
AAPL2,5,20120123,103500,426.5600000,426.8700000,426.4500000,426.7800000,10500
AAPL2,5,20120123,104000,426.8200000,427.1200000,426.7200000,427.1200000,9428
AAPL2,5,20120123,104500,426.9900000,427.0500000,426.6500000,426.7700000,5765
AAPL2,5,20120123,105000,426.7200000,426.9900000,426.6600000,426.8200000,12348
AAPL2,5,20120123,105500,426.7500000,427.2700000,426.7500000,427.1200000,11976
AAPL2,5,20120123,110000,427.2300000,427.5200000,426.9400000,427.5200000,8207
AAPL2,5,20120123,110500,427.6000000,427.8000000,427.5000000,427.6100000,8173
AAPL2,5,20120123,111000,427.6200000,427.6500000,426.8600000,427.0100000,20379
AAPL2,5,20120123,111500,427.0000000,427.0100000,426.5000000,426.5100000,9798
AAPL2,5,20120123,112000,426.4900000,426.5400000,426.2000000,426.3200000,9793
AAPL2,5,20120123,112500,426.3600000,426.5500000,426.0000000,426.3900000,11215
AAPL2,5,20120123,113000,426.4050000,426.7900000,426.4000000,426.5300000,4844
AAPL2,5,20120123,113500,426.5300000,426.7100000,426.5100000,426.6800000,2780
AAPL2,5,20120123,114000,426.6400000,426.7100000,426.0400000,426.2100000,9948
AAPL2,5,20120123,114500,426.1800000,426.1800000,425.5500000,425.7250000,12852
AAPL2,5,20120123,115000,425.6800000,426.0400000,425.5800000,425.9900000,4438
AAPL2,5,20120123,115500,426.0200000,426.2500000,425.8700000,425.8700000,5286
AAPL2,5,20120123,120000,425.9300000,425.9300000,425.4500000,425.4800000,11099
AAPL2,5,20120123,120500,425.4600000,425.4700000,424.7300000,424.8700000,12275
AAPL2,5,20120123,121000,424.9300000,425.1700000,424.6400000,425.1400000,7959
AAPL2,5,20120123,121500,425.1900000,425.2800000,424.8500000,424.8500000,8400
AAPL2,5,20120123,122000,424.8600000,425.2500000,424.7200000,425.1400000,4824
AAPL2,5,20120123,122500,425.1100000,425.4700000,425.0800000,425.4400000,10497
AAPL2,5,20120123,123000,425.4700000,425.6400000,425.4300000,425.6400000,3500
AAPL2,5,20120123,123500,425.6600000,425.6600000,425.4700000,425.5900000,4130
AAPL2,5,20120123,124000,425.4100000,425.5300000,425.4100000,425.5300000,4490
AAPL2,5,20120123,124500,425.5400000,425.6700000,425.5000000,425.5500000,2600
AAPL2,5,20120123,125000,425.6300000,425.7300000,425.3800000,425.4100000,9680
AAPL2,5,20120123,125500,425.4100000,425.7200000,425.4100000,425.5700000,3560
AAPL2,5,20120123,130000,425.5300000,425.6800000,425.4000000,425.5900000,5350
AAPL2,5,20120123,130500,425.6000000,425.9100000,425.5700000,425.7100000,15309
AAPL2,5,20120123,131000,425.8400000,426.1500000,425.8100000,425.9900000,7000
AAPL2,5,20120123,131500,425.9650000,426.2600000,425.7600000,426.2600000,4591
AAPL2,5,20120123,132000,426.2000000,426.2900000,426.0200000,426.1500000,5670
AAPL2,5,20120123,132500,426.2500000,426.5800000,426.2300000,426.5600000,4748
AAPL2,5,20120123,133000,426.5900000,426.8300000,426.5900000,426.8100000,3576
AAPL2,5,20120123,133500,426.7600000,426.8200000,426.4500000,426.7300000,11276
AAPL2,5,20120123,134000,426.6900000,426.9200000,426.5400000,426.7100000,4900
AAPL2,5,20120123,134500,426.6600000,426.7300000,426.6500000,426.6500000,2738
AAPL2,5,20120123,135000,426.5200000,426.7300000,426.5200000,426.7100000,4500
AAPL2,5,20120123,135500,426.7200000,427.0800000,426.6300000,427.0700000,7320
AAPL2,5,20120123,140000,427.0800000,427.4800000,427.0300000,427.3900000,4101
AAPL2,5,20120123,140500,427.1100000,427.3000000,427.0300000,427.0700000,4447
AAPL2,5,20120123,141000,427.0100000,427.0450000,426.8200000,427.0200000,6372
AAPL2,5,20120123,141500,426.9400000,426.9400000,426.4700000,426.5900000,7668
AAPL2,5,20120123,142000,426.6600000,426.8100000,426.5600000,426.5600000,7883
AAPL2,5,20120123,142500,426.5400000,426.8100000,426.5400000,426.7200000,5739
AAPL2,5,20120123,143000,426.7000000,426.7400000,426.5450000,426.6400000,13991
AAPL2,5,20120123,143500,426.6250000,426.6800000,426.5250000,426.5900000,4812
AAPL2,5,20120123,144000,426.5600000,426.5600000,426.2000000,426.2800000,11133
AAPL2,5,20120123,144500,426.3400000,426.4800000,426.1700000,426.1700000,6074
AAPL2,5,20120123,145000,426.1550000,426.1550000,425.8600000,426.1400000,10612
AAPL2,5,20120123,145500,426.1100000,426.1100000,425.9300000,425.9500000,9696
AAPL2,5,20120123,150000,425.9300000,426.2400000,425.8700000,425.9900000,44396
AAPL2,5,20120123,150500,426.0100000,426.3100000,425.8800000,426.1200000,10725
AAPL2,5,20120123,151000,426.1100000,426.6100000,426.1100000,426.4400000,12743
AAPL2,5,20120123,151500,426.4600000,426.7000000,426.3300000,426.5000000,8975
AAPL2,5,20120123,152000,426.5700000,426.6000000,426.3800000,426.5800000,8325
AAPL2,5,20120123,152500,426.5400000,426.7400000,426.4800000,426.6500000,5680
AAPL2,5,20120123,153000,426.6550000,426.7500000,426.4700000,426.6050000,10299
AAPL2,5,20120123,153500,426.6200000,427.0400000,426.6150000,427.0400000,10004
AAPL2,5,20120123,154000,427.0400000,427.1100000,426.9300000,427.0000000,10089
AAPL2,5,20120123,154500,427.0100000,427.3100000,427.0100000,427.2600000,12536
AAPL2,5,20120123,155000,427.2300000,427.4800000,427.0600000,427.3000000,19251
AAPL2,5,20120123,155500,427.2900000,427.5000000,427.2650000,427.4800000,25541
AAPL2,5,20120123,160000,427.4900000,427.5800000,427.2000000,427.5800000,17292
AAPL2,5,20120124,093500,424.8600000,424.8600000,423.2200000,423.7500000,36230
AAPL2,5,20120124,094000,423.7200000,424.7300000,423.5200000,424.5100000,42447
AAPL2,5,20120124,094500,424.5900000,424.9200000,424.1300000,424.8200000,27713
AAPL2,5,20120124,095000,424.7850000,424.8200000,424.2650000,424.6400000,10874
AAPL2,5,20120124,095500,424.5800000,424.8400000,423.8100000,424.1600000,23685
AAPL2,5,20120124,100000,424.1600000,424.3900000,423.8000000,423.8900000,14041
