<TICKER>,<PER 5 min>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL,5,20120104,173500,175.5000000,175.7000000,175.4700000,175.6800000,98020
AAPL,5,20120104,174000,175.6100000,175.7900000,175.5100000,175.7500000,124750
AAPL,5,20120104,174500,175.7600000,175.8000000,175.6700000,175.7200000,46960
AAPL,5,20120104,175000,175.7200000,176.1600000,175.7100000,175.9700000,318030
AAPL,5,20120104,175500,175.9700000,176.0000000,175.7100000,175.8100000,188600
AAPL,5,20120104,180000,175.8900000,175.9300000,175.4700000,175.6000000,130210
AAPL,5,20120104,180500,175.6000000,175.8400000,175.4700000,175.8400000,78610
AAPL,5,20120104,181000,175.8500000,175.9600000,175.7800000,175.8600000,63220
AAPL,5,20120104,181500,175.8700000,176.3000000,175.8400000,176.3000000,250760
AAPL,5,20120104,182000,176.3000000,176.3400000,176.1200000,176.2300000,95010
AAPL,5,20120104,182500,176.2200000,176.3700000,176.1100000,176.2700000,66370
AAPL,5,20120104,183000,176.2800000,176.3200000,175.9300000,176.0600000,202690
AAPL,5,20120104,183500,176.1000000,176.2600000,176.0100000,176.0100000,134150
AAPL,5,20120104,184000,176.0800000,176.1500000,175.6700000,176.1500000,267620
AAPL,5,20120104,184500,176.1500000,176.9100000,176.1100000,176.9100000,930560
AAPL,5,20120105,100500,177.0100000,177.4900000,176.6600000,177.3900000,348240
AAPL,5,20120105,101000,177.3600000,177.7900000,177.2400000,177.7200000,213290
AAPL,5,20120105,101500,177.7800000,177.9600000,177.5600000,177.9400000,311580
AAPL,5,20120105,102000,177.9500000,178.0400000,177.7500000,177.7500000,500540
AAPL,5,20120105,102500,177.7600000,178.0100000,177.7400000,177.8100000,773300
AAPL,5,20120105,103000,177.8700000,177.9100000,177.7800000,177.8500000,143020
AAPL,5,20120105,103500,177.8900000,178.0100000,177.8800000,177.8800000,617020
AAPL,5,20120105,104000,177.8800000,177.8800000,177.1200000,177.4000000,250830
AAPL,5,20120105,104500,177.4100000,177.5200000,177.2000000,177.4300000,136280
AAPL,5,20120105,105000,177.4800000,177.6900000,177.4400000,177.5200000,87690
AAPL,5,20120105,105500,177.6000000,177.8000000,177.5100000,177.6100000,53880
AAPL,5,20120105,110000,177.6100000,177.7400000,177.4700000,177.6400000,131940
AAPL,5,20120105,110500,177.6400000,177.6400000,177.4400000,177.5600000,33220
AAPL,5,20120105,111000,177.5400000,177.6500000,177.3800000,177.4600000,74680
AAPL,5,20120105,111500,177.4600000,177.5000000,177.2500000,177.2500000,79100
AAPL,5,20120105,112000,177.2500000,177.3900000,177.1600000,177.3900000,108170
AAPL,5,20120105,112500,177.3900000,177.4700000,177.1700000,177.1900000,113390
AAPL,5,20120105,113000,177.1900000,177.3300000,177.1600000,177.2400000,113670
