close_time,start_time,end_time,sentiment,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Tue Jan 03 12:10:00 +0000 2012,Tue Jan 03 12:10:10 +0000 2012,Tue Jan 03 12:14:26 +0000 2012,0.2125,GOOGL,661.48,661.65,660.93,661.55,1890
Tue Jan 03 12:15:00 +0000 2012,Tue Jan 03 12:16:34 +0000 2012,Tue Jan 03 12:19:51 +0000 2012,0.16477272727272727,GOOGL,661.38,661.66,661.22,661.22,900
Tue Jan 03 12:20:00 +0000 2012,Tue Jan 03 12:20:42 +0000 2012,Tue Jan 03 12:23:22 +0000 2012,0.4625,GOOGL,661.2,661.41,660.91,661.39,1909
Tue Jan 03 12:25:00 +0000 2012,Tue Jan 03 12:25:29 +0000 2012,Tue Jan 03 12:29:47 +0000 2012,0.06625,GOOGL,661.43,661.45,660.88,661.1,2200
Tue Jan 03 12:30:00 +0000 2012,Tue Jan 03 12:30:44 +0000 2012,Tue Jan 03 12:34:57 +0000 2012,-0.06583333333333333,GOOGL,661.14,661.43,661.14,661.43,900
Tue Jan 03 12:35:00 +0000 2012,Tue Jan 03 12:35:41 +0000 2012,Tue Jan 03 12:39:38 +0000 2012,0.19115909090909086,GOOGL,661.26,661.26,660.42,660.42,700
Tue Jan 03 12:40:00 +0000 2012,Tue Jan 03 12:40:30 +0000 2012,Tue Jan 03 12:44:16 +0000 2012,0.009289321789321786,GOOGL,660.33,660.92,658.99,658.99,4200
Tue Jan 03 12:45:00 +0000 2012,Tue Jan 03 12:45:21 +0000 2012,Tue Jan 03 12:49:29 +0000 2012,0.002499999999999997,GOOGL,659.33,659.86,659.33,659.84,1100
Tue Jan 03 12:50:00 +0000 2012,Tue Jan 03 12:50:52 +0000 2012,Tue Jan 03 12:54:38 +0000 2012,0.17785858585858585,GOOGL,659.77,659.77,658.88,659.2,1501
Tue Jan 03 12:55:00 +0000 2012,Tue Jan 03 12:55:59 +0000 2012,Tue Jan 03 12:59:21 +0000 2012,0.032999999999999995,GOOGL,659.2,659.49,659.19,659.2,1800
Tue Jan 03 13:00:00 +0000 2012,Tue Jan 03 13:00:41 +0000 2012,Tue Jan 03 13:04:56 +0000 2012,0.07465277777777779,GOOGL,659.23,659.3,658.65,659.3,2985
Tue Jan 03 13:05:00 +0000 2012,Tue Jan 03 13:05:59 +0000 2012,Tue Jan 03 13:09:51 +0000 2012,0.1708554292929293,GOOGL,659.27,659.67,659.27,659.46,800
Tue Jan 03 13:10:00 +0000 2012,Tue Jan 03 13:10:37 +0000 2012,Tue Jan 03 13:14:27 +0000 2012,0.07495580808080808,GOOGL,659.17,659.19,658.67,658.67,1583
Tue Jan 03 13:15:00 +0000 2012,Tue Jan 03 13:15:45 +0000 2012,Tue Jan 03 13:19:18 +0000 2012,0.1178409090909091,GOOGL,658.7,658.98,658.67,658.98,1041
Tue Jan 03 13:20:00 +0000 2012,Tue Jan 03 13:20:51 +0000 2012,Tue Jan 03 13:24:14 +0000 2012,0.17994739057239054,GOOGL,658.86,659.11,658.86,658.9,2024
Tue Jan 03 13:25:00 +0000 2012,Tue Jan 03 13:25:39 +0000 2012,Tue Jan 03 13:28:16 +0000 2012,0.12222222222222225,GOOGL,658.98,658.98,658.47,658.47,2698
Tue Jan 03 13:30:00 +0000 2012,Tue Jan 03 13:30:19 +0000 2012,Tue Jan 03 13:34:43 +0000 2012,0.12948626893939394,GOOGL,658.56,658.64,658.07,658.18,1454
Tue Jan 03 13:35:00 +0000 2012,Tue Jan 03 13:35:25 +0000 2012,Tue Jan 03 13:37:42 +0000 2012,0.1,GOOGL,658.46,659.13,658.37,658.74,1400
Tue Jan 03 13:40:00 +0000 2012,Tue Jan 03 13:40:54 +0000 2012,Tue Jan 03 13:44:53 +0000 2012,0.235,GOOGL,658.83,659.07,658.14,658.65,1400
Tue Jan 03 13:45:00 +0000 2012,Tue Jan 03 13:45:57 +0000 2012,Tue Jan 03 13:49:22 +0000 2012,0.15217803030303031,GOOGL,658.68,659.17,658.68,659.01,2800
Tue Jan 03 13:50:00 +0000 2012,Tue Jan 03 13:50:54 +0000 2012,Tue Jan 03 13:54:39 +0000 2012,0.21703409090909093,GOOGL,659.06,659.47,658.8,659.47,2400
Tue Jan 03 13:55:00 +0000 2012,Tue Jan 03 13:55:19 +0000 2012,Tue Jan 03 13:59:27 +0000 2012,0.21125,GOOGL,659.62,659.78,659.54,659.54,2200
Tue Jan 03 14:00:00 +0000 2012,Tue Jan 03 14:00:38 +0000 2012,Tue Jan 03 14:04:14 +0000 2012,0.06400432900432901,GOOGL,659.23,659.63,659.23,659.49,1400
Tue Jan 03 14:05:00 +0000 2012,Tue Jan 03 14:05:52 +0000 2012,Tue Jan 03 14:09:57 +0000 2012,0.30894886363636365,GOOGL,659.48,660.1,659.38,659.79,1900
Tue Jan 03 14:10:00 +0000 2012,Tue Jan 03 14:10:51 +0000 2012,Tue Jan 03 14:14:54 +0000 2012,0.1498787878787879,GOOGL,660.06,660.09,659.9,659.9,1200
Tue Jan 03 14:15:00 +0000 2012,Tue Jan 03 14:16:25 +0000 2012,Tue Jan 03 14:19:53 +0000 2012,0.25104166666666666,GOOGL,659.61,659.91,659.48,659.76,3300
Tue Jan 03 14:20:00 +0000 2012,Tue Jan 03 14:20:25 +0000 2012,Tue Jan 03 14:24:45 +0000 2012,0.09674242424242424,GOOGL,659.65,659.68,659.35,659.68,700
Tue Jan 03 14:25:00 +0000 2012,Tue Jan 03 14:27:25 +0000 2012,Tue Jan 03 14:29:47 +0000 2012,0.08295454545454545,GOOGL,659.58,660.36,659.58,660.18,7234
Tue Jan 03 14:30:00 +0000 2012,Tue Jan 03 14:30:56 +0000 2012,Tue Jan 03 14:34:50 +0000 2012,0.09453125,GOOGL,660.35,660.69,660.34,660.69,2000
Tue Jan 03 14:35:00 +0000 2012,Tue Jan 03 14:36:30 +0000 2012,Tue Jan 03 14:39:15 +0000 2012,0.10416666666666667,GOOGL,660.64,661.42,660.62,661.31,3097
Tue Jan 03 14:40:00 +0000 2012,Tue Jan 03 14:40:58 +0000 2012,Tue Jan 03 14:44:45 +0000 2012,0.06484848484848485,GOOGL,661.41,663.12,661.4,663.12,8600
Tue Jan 03 14:45:00 +0000 2012,Tue Jan 03 14:45:37 +0000 2012,Tue Jan 03 14:49:50 +0000 2012,0.057662337662337665,GOOGL,663.2,663.41,662.92,663.41,4753
Tue Jan 03 14:50:00 +0000 2012,Tue Jan 03 14:50:33 +0000 2012,Tue Jan 03 14:54:36 +0000 2012,0.1,GOOGL,663.41,663.57,663.41,663.47,3401
Tue Jan 03 14:55:00 +0000 2012,Tue Jan 03 14:55:59 +0000 2012,Tue Jan 03 14:59:50 +0000 2012,0.1910184785917208,GOOGL,663.43,663.5,663.23,663.3,3011
Tue Jan 03 15:00:00 +0000 2012,Tue Jan 03 15:00:50 +0000 2012,Tue Jan 03 15:04:08 +0000 2012,-0.06669823232323233,GOOGL,663.21,664.64,663.13,664.64,4960
Tue Jan 03 15:05:00 +0000 2012,Tue Jan 03 15:06:54 +0000 2012,Tue Jan 03 15:09:56 +0000 2012,0.0550760582010582,GOOGL,664.67,665.0,664.15,664.59,6961
Tue Jan 03 15:10:00 +0000 2012,Tue Jan 03 15:10:42 +0000 2012,Tue Jan 03 15:14:00 +0000 2012,0.19195075757575755,GOOGL,664.66,665.0,664.6,664.92,22754
Tue Jan 03 15:15:00 +0000 2012,Tue Jan 03 15:15:46 +0000 2012,Tue Jan 03 15:19:50 +0000 2012,0.20222222222222225,GOOGL,664.91,665.33,664.66,664.81,10189
Tue Jan 03 15:20:00 +0000 2012,Tue Jan 03 15:20:48 +0000 2012,Tue Jan 03 15:24:25 +0000 2012,0.32279741863075195,GOOGL,664.98,664.98,664.69,664.82,1500
Tue Jan 03 15:25:00 +0000 2012,Tue Jan 03 15:25:56 +0000 2012,Tue Jan 03 15:29:29 +0000 2012,0.14997411616161613,GOOGL,665.0,665.24,664.72,664.72,4630
Tue Jan 03 15:30:00 +0000 2012,Tue Jan 03 15:30:16 +0000 2012,Tue Jan 03 15:34:50 +0000 2012,0.368125,GOOGL,664.71,665.83,664.59,665.83,3400
Tue Jan 03 15:35:00 +0000 2012,Tue Jan 03 15:35:32 +0000 2012,Tue Jan 03 15:39:23 +0000 2012,0.3105833333333333,GOOGL,665.86,665.86,665.44,665.62,4910
Tue Jan 03 15:40:00 +0000 2012,Tue Jan 03 15:40:32 +0000 2012,Tue Jan 03 15:44:49 +0000 2012,0.2264622113997114,GOOGL,665.41,665.9,664.79,665.85,5065
Tue Jan 03 15:45:00 +0000 2012,Tue Jan 03 15:45:29 +0000 2012,Tue Jan 03 15:49:40 +0000 2012,0.06316287878787878,GOOGL,665.98,667.43,665.98,667.43,5750
Tue Jan 03 15:50:00 +0000 2012,Tue Jan 03 15:50:53 +0000 2012,Tue Jan 03 15:54:56 +0000 2012,0.1799715909090909,GOOGL,667.53,668.07,667.37,667.73,9620
Tue Jan 03 15:55:00 +0000 2012,Tue Jan 03 15:55:27 +0000 2012,Tue Jan 03 15:59:57 +0000 2012,0.1775152473394661,GOOGL,667.65,667.65,665.65,665.65,4701
