close_time,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Wed Jan 04 11:05:00 +0000 2012,AAPL2,410.8500000,410.9400000,410.7300000,410.8300000,8274
Wed Jan 04 11:10:00 +0000 2012,AAPL2,410.8400000,411.7500000,410.7800000,411.5100000,16061
Wed Jan 04 11:15:00 +0000 2012,AAPL2,411.5700000,412.3000000,411.5700000,412.1300000,15944
Wed Jan 04 11:20:00 +0000 2012,AAPL2,412.1300000,412.1600000,411.9000000,412.0000000,11881
Wed Jan 04 11:25:00 +0000 2012,AAPL2,412.0200000,413.3700000,412.0200000,413.0400000,40161
Wed Jan 04 11:30:00 +0000 2012,AAPL2,413.0000000,413.2000000,412.7100000,412.7400000,5327
Wed Jan 04 11:35:00 +0000 2012,AAPL2,412.7700000,413.0100000,412.7100000,412.9300000,14340
Wed Jan 04 11:40:00 +0000 2012,AAPL2,412.8600000,413.5000000,412.8600000,413.3700000,11899
Wed Jan 04 11:45:00 +0000 2012,AAPL2,413.4300000,413.4600000,413.3000000,413.4000000,9941
Wed Jan 04 11:50:00 +0000 2012,AAPL2,413.3900000,413.4300000,413.0900000,413.0900000,10140
Wed Jan 04 11:55:00 +0000 2012,AAPL2,413.1200000,413.1200000,412.9200000,413.0000000,8859
Wed Jan 04 12:00:00 +0000 2012,AAPL2,412.9700000,413.1000000,412.8600000,413.1000000,5632
Wed Jan 04 12:05:00 +0000 2012,AAPL2,413.0500000,413.1700000,412.9900000,413.1300000,11529
Wed Jan 04 12:10:00 +0000 2012,AAPL2,413.2000000,413.4300000,413.0700000,413.3700000,10462
Wed Jan 04 12:15:00 +0000 2012,AAPL2,413.4250000,413.5000000,413.3800000,413.4000000,9055
Wed Jan 04 12:20:00 +0000 2012,AAPL2,413.4000000,414.4500000,413.4000000,414.3800000,32952
Wed Jan 04 12:25:00 +0000 2012,AAPL2,414.3000000,414.3100000,413.9300000,413.9300000,6943
Wed Jan 04 12:30:00 +0000 2012,AAPL2,414.0000000,414.1100000,413.9400000,414.0600000,2695
Wed Jan 04 12:35:00 +0000 2012,AAPL2,414.1000000,414.3600000,414.1000000,414.2700000,4534
Wed Jan 04 12:40:00 +0000 2012,AAPL2,414.2600000,414.2800000,413.9500000,413.9600000,10641
Wed Jan 04 12:45:00 +0000 2012,AAPL2,413.9200000,414.0300000,413.9150000,413.9900000,3137
Wed Jan 04 12:50:00 +0000 2012,AAPL2,414.0000000,414.0700000,413.8700000,414.0500000,6334
Wed Jan 04 12:55:00 +0000 2012,AAPL2,413.9900000,414.3900000,413.9900000,414.2900000,6899
Wed Jan 04 13:00:00 +0000 2012,AAPL2,414.3900000,414.6500000,414.3900000,414.4800000,17267
Wed Jan 04 13:05:00 +0000 2012,AAPL2,414.4900000,414.4900000,413.8700000,413.9100000,8220
Wed Jan 04 13:10:00 +0000 2012,AAPL2,413.9400000,414.1300000,413.5000000,413.5200000,7583
Wed Jan 04 13:15:00 +0000 2012,AAPL2,413.6500000,413.8800000,413.6500000,413.7000000,9708
Wed Jan 04 13:20:00 +0000 2012,AAPL2,413.8100000,413.8100000,413.1900000,413.3700000,9734
Wed Jan 04 13:25:00 +0000 2012,AAPL2,413.4000000,413.4500000,413.2500000,413.3500000,12408
Wed Jan 04 13:30:00 +0000 2012,AAPL2,413.3300000,413.5000000,413.0500000,413.3600000,11949
Wed Jan 04 13:35:00 +0000 2012,AAPL2,413.4000000,413.4800000,413.3500000,413.4700000,3000
Wed Jan 04 13:40:00 +0000 2012,AAPL2,413.4600000,413.8400000,413.4600000,413.7200000,15078
Wed Jan 04 13:45:00 +0000 2012,AAPL2,413.7500000,413.7700000,413.6000000,413.6000000,10454
Wed Jan 04 13:50:00 +0000 2012,AAPL2,413.6500000,413.8500000,413.6200000,413.8100000,10190
Wed Jan 04 13:55:00 +0000 2012,AAPL2,413.8100000,414.2800000,413.8100000,414.2500000,8946
Wed Jan 04 14:00:00 +0000 2012,AAPL2,414.2500000,414.3000000,414.0900000,414.1400000,8668
Wed Jan 04 14:05:00 +0000 2012,AAPL2,414.1000000,414.1400000,413.7800000,413.8000000,7246
Wed Jan 04 14:10:00 +0000 2012,AAPL2,413.6800000,413.7000000,413.3000000,413.5100000,13905
Wed Jan 04 14:15:00 +0000 2012,AAPL2,413.5100000,413.5100000,413.0100000,413.1600000,10458
Wed Jan 04 14:20:00 +0000 2012,AAPL2,413.2300000,413.6400000,413.1650000,413.6400000,7842
Wed Jan 04 14:25:00 +0000 2012,AAPL2,413.6300000,413.7000000,413.4800000,413.5400000,9278
Wed Jan 04 14:30:00 +0000 2012,AAPL2,413.6000000,413.9500000,413.6000000,413.8600000,6935
Wed Jan 04 14:35:00 +0000 2012,AAPL2,413.8200000,414.1700000,413.8200000,414.0500000,6633
Wed Jan 04 14:40:00 +0000 2012,AAPL2,414.1000000,414.1000000,413.8000000,413.9700000,4449
Wed Jan 04 14:45:00 +0000 2012,AAPL2,413.9100000,414.0300000,413.9100000,413.9300000,3600
Wed Jan 04 14:50:00 +0000 2012,AAPL2,414.0500000,414.0500000,413.6600000,413.8400000,3801
Wed Jan 04 14:55:00 +0000 2012,AAPL2,413.8400000,414.1200000,413.8400000,414.0200000,4841
Wed Jan 04 15:00:00 +0000 2012,AAPL2,414.0900000,414.0900000,413.7500000,413.7500000,5348
Wed Jan 04 15:05:00 +0000 2012,AAPL2,413.7700000,413.8700000,413.6300000,413.7150000,8500
Wed Jan 04 15:10:00 +0000 2012,AAPL2,413.7500000,413.7500000,413.5200000,413.6000000,7322
Wed Jan 04 15:15:00 +0000 2012,AAPL2,413.6200000,413.7100000,413.3950000,413.4200000,6320
Wed Jan 04 15:20:00 +0000 2012,AAPL2,413.4700000,413.4700000,412.6800000,412.8500000,9268
Wed Jan 04 15:25:00 +0000 2012,AAPL2,412.8500000,413.5500000,412.8500000,413.4500000,13885
Wed Jan 04 15:30:00 +0000 2012,AAPL2,413.4300000,413.5900000,413.3700000,413.5900000,5700
Wed Jan 04 15:35:00 +0000 2012,AAPL2,413.6800000,413.9200000,413.5100000,413.7000000,10058
Wed Jan 04 15:40:00 +0000 2012,AAPL2,413.7900000,413.8000000,413.5500000,413.7300000,14435
Wed Jan 04 15:45:00 +0000 2012,AAPL2,413.7500000,413.8800000,413.5900000,413.8100000,12895
