<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOGL,5,20120104,102500,662.3800000,662.9400000,662.3800000,662.9400000,1100
GOOGL,5,20120104,103000,662.8100000,662.8100000,662.2000000,662.3800000,2630
GOOGL,5,20120104,103500,662.2000000,662.5600000,661.9500000,662.3200000,3500
GOOGL,5,20120104,104000,661.3600000,661.4600000,660.7400000,660.9300000,3411
GOOGL,5,20120104,104500,660.8600000,661.5400000,660.7700000,661.4000000,1440
GOOGL,5,20120104,105000,661.1000000,661.7300000,661.1000000,661.7300000,1258
GOOGL,5,20120104,105500,661.8400000,663.2000000,661.7300000,663.2000000,2464
GOOGL,5,20120104,110000,663.3100000,663.4900000,663.2000000,663.4200000,3497
GOOGL,5,20120104,110500,663.3350000,663.4300000,662.8650000,663.4100000,2360
GOOGL,5,20120104,111000,663.4300000,664.9300000,663.3800000,664.9300000,3000
GOOGL,5,20120104,111500,664.9200000,665.7900000,664.7600000,665.7900000,3005
GOOGL,5,20120104,112000,666.1600000,666.4400000,665.9350000,666.1300000,3400
GOOGL,5,20120104,112500,665.9300000,666.4100000,665.9300000,666.4100000,2500
GOOGL,5,20120104,113000,666.0700000,666.0800000,664.7700000,664.8300000,4220
GOOGL,5,20120104,113500,665.1200000,665.4400000,664.9300000,665.2900000,1900
GOOGL,5,20120104,114000,665.3600000,666.2700000,665.3600000,666.2500000,2100
GOOGL,5,20120104,114500,666.2500000,666.4100000,666.1500000,666.1900000,1658
GOOGL,5,20120104,115000,666.1300000,667.1000000,666.1000000,667.1000000,1100
GOOGL,5,20120104,115500,666.7300000,666.7400000,666.5550000,666.6000000,1900
GOOGL,5,20120104,120000,666.6900000,666.6900000,666.0100000,666.0100000,926
GOOGL,5,20120104,120500,666.7800000,667.1700000,666.7250000,667.1500000,1206
GOOGL,5,20120104,121000,667.1100000,667.8000000,667.1100000,667.8000000,2100
GOOGL,5,20120104,121500,667.6400000,668.1200000,667.6400000,668.1200000,1100
GOOGL,5,20120104,122000,668.3500000,668.9600000,668.3500000,668.9600000,1200
GOOGL,5,20120104,122500,668.9500000,669.3800000,668.2350000,668.2350000,2792
GOOGL,5,20120104,123000,668.2400000,668.2800000,668.2250000,668.2250000,500
GOOGL,5,20120104,123500,668.3200000,668.5500000,668.3100000,668.3800000,1000
GOOGL,5,20120104,124000,668.3800000,668.7100000,668.3800000,668.4500000,800
GOOGL,5,20120104,124500,668.4300000,669.3000000,668.4300000,669.3000000,1400
GOOGL,5,20120104,125000,669.3900000,669.7400000,668.9700000,669.2000000,1700
GOOGL,5,20120104,125500,669.2000000,669.8200000,668.9600000,669.8200000,1400
GOOGL,5,20120104,130000,669.9450000,669.9900000,669.8200000,669.9900000,800
GOOGL,5,20120104,130500,669.8800000,669.8800000,669.2900000,669.3000000,1503
GOOGL,5,20120104,131000,668.9300000,668.9300000,668.6600000,668.6600000,300
GOOGL,5,20120104,131500,668.6500000,668.8200000,668.2200000,668.2200000,1364
GOOGL,5,20120104,132000,667.9100000,667.9100000,666.9700000,666.9700000,1712
GOOGL,5,20120104,132500,666.9200000,667.2000000,666.9200000,667.2000000,648
GOOGL,5,20120104,133000,666.5500000,666.5700000,665.9000000,666.4100000,2000
GOOGL,5,20120104,133500,666.9900000,667.1500000,666.9800000,666.9800000,300
GOOGL,5,20120104,134000,667.5900000,667.7600000,667.4700000,667.6700000,1100
GOOGL,5,20120104,134500,667.5900000,667.8400000,667.5900000,667.8400000,1000
GOOGL,5,20120104,135000,667.8600000,668.6350000,667.8500000,668.3900000,2089
GOOGL,5,20120104,135500,668.4500000,668.4900000,668.1600000,668.4900000,2025
GOOGL,5,20120104,140000,668.5200000,668.5200000,667.8700000,667.8700000,1344
GOOGL,5,20120104,140500,667.7500000,667.7600000,667.5000000,667.5000000,600
GOOGL,5,20120104,141000,667.1900000,667.1900000,667.1600000,667.1600000,200
GOOGL,5,20120104,141500,667.1000000,667.1000000,666.4400000,666.4400000,410
GOOGL,5,20120104,142000,666.4000000,666.7800000,666.4000000,666.7800000,400
GOOGL,5,20120104,142500,667.5200000,667.5600000,667.2900000,667.5600000,600
GOOGL,5,20120104,143000,667.0000000,667.0200000,666.7000000,667.0200000,4533
GOOGL,5,20120104,143500,667.0600000,668.0000000,667.0600000,668.0000000,1200
GOOGL,5,20120104,144000,667.5400000,667.5800000,667.5000000,667.5800000,300
GOOGL,5,20120104,144500,667.6500000,668.1600000,667.6500000,668.1600000,681
GOOGL,5,20120104,145000,668.2100000,668.2100000,667.6050000,668.1400000,1200
GOOGL,5,20120104,145500,668.0400000,668.3200000,668.0400000,668.3200000,700
GOOGL,5,20120104,150000,668.1500000,668.1500000,667.4800000,667.8100000,1470
GOOGL,5,20120104,150500,667.6900000,667.6900000,666.5000000,666.5000000,1588
GOOGL,5,20120104,151000,666.5700000,666.6700000,666.5600000,666.6700000,800
GOOGL,5,20120104,151500,666.6600000,667.1700000,666.6600000,667.0400000,2000
GOOGL,5,20120104,152000,666.8600000,666.8600000,665.5200000,665.7300000,2300
GOOGL,5,20120104,152500,665.8800000,666.2600000,665.7800000,665.9700000,2811
GOOGL,5,20120104,153000,666.0200000,666.0200000,665.5500000,665.7400000,2240
GOOGL,5,20120104,153500,665.9700000,665.9700000,665.3700000,665.5000000,1015
GOOGL,5,20120104,154000,665.4700000,665.8700000,665.4700000,665.7300000,900
GOOGL,5,20120104,154500,666.2400000,666.4600000,666.1700000,666.4100000,2200
GOOGL,5,20120104,155000,666.6000000,666.6100000,665.4600000,665.4600000,3700
GOOGL,5,20120104,155500,665.4400000,667.4400000,665.4400000,667.4300000,5659
GOOGL,5,20120104,160000,667.4500000,668.2000000,667.2300000,668.0100000,8606
GOOGL,5,20120105,093500,662.1300000,662.7700000,659.0800000,662.7700000,15964
GOOGL,5,20120105,094000,662.5000000,663.9500000,660.5800000,660.5800000,10675
GOOGL,5,20120105,094500,660.5100000,661.3200000,660.2800000,660.3800000,15618
GOOGL,5,20120105,095000,660.4000000,661.1800000,660.3600000,660.6400000,9876
GOOGL,5,20120105,095500,660.5900000,662.5300000,660.5900000,662.2100000,5725
GOOGL,5,20120105,100000,662.2300000,662.2300000,661.2500000,661.7500000,6324
GOOGL,5,20120105,100500,661.4000000,661.5000000,660.9200000,661.0500000,9566
